Expected delay, Actual delay
117, 184.033613
117, 183.193277
117, 184.033613
117, 183.193277
117, 184.033613
117, 183.193277
117, 184.033613
117, 184.033613
117, 183.193277
117, 184.033613
118, 184.033613
118, 184.873950
118, 193.277311
118, 185.714286
118, 184.033613
118, 184.873950
118, 184.873950
118, 184.033613
118, 184.873950
118, 184.033613
119, 188.235294
119, 187.394958
119, 188.235294
119, 188.235294
119, 187.394958
119, 188.235294
119, 187.394958
119, 188.235294
119, 187.394958
119, 189.915966
120, 189.915966
120, 188.235294
120, 189.075630
120, 188.235294
120, 189.915966
120, 188.235294
120, 189.075630
120, 189.075630
120, 188.235294
120, 189.075630
121, 193.277311
121, 195.798319
121, 194.117647
121, 195.798319
121, 194.117647
121, 195.798319
121, 195.798319
121, 194.117647
121, 195.798319
121, 194.117647
122, 196.638655
122, 194.957983
122, 196.638655
122, 196.638655
122, 194.957983
122, 196.638655
122, 194.957983
122, 195.798319
122, 194.957983
122, 199.159664
123, 200.840336
123, 198.319328
123, 200.840336
123, 198.319328
123, 200.000000
123, 197.478992
123, 200.000000
123, 198.319328
123, 198.319328
123, 200.000000
124, 200.000000
124, 201.680672
124, 199.159664
124, 202.521008
124, 200.000000
124, 199.159664
124, 200.840336
124, 200.000000
124, 201.680672
124, 200.000000
125, 200.000000
125, 202.521008
125, 200.840336
125, 202.521008
125, 200.840336
125, 200.000000
125, 203.361345
125, 200.000000
125, 202.521008
125, 200.000000
126, 200.840336
126, 203.361345
126, 203.361345
126, 201.680672
126, 203.361345
126, 201.680672
126, 203.361345
126, 203.361345
126, 201.680672
126, 204.201681
127, 202.521008
127, 204.201681
127, 202.521008
127, 202.521008
127, 204.201681
127, 202.521008
127, 205.042017
127, 202.521008
127, 202.521008
127, 204.201681
128, 205.882353
128, 203.361345
128, 205.882353
128, 203.361345
128, 203.361345
128, 203.361345
128, 203.361345
128, 205.882353
128, 203.361345
128, 203.361345
129, 206.722689
129, 206.722689
129, 204.201681
129, 206.722689
129, 204.201681
129, 206.722689
129, 204.201681
129, 204.201681
129, 206.722689
129, 204.201681
130, 205.882353
130, 205.042017
130, 205.042017
130, 205.042017
130, 214.285714
130, 205.042017
130, 207.563025
130, 205.042017
130, 208.403361
130, 205.042017
131, 208.403361
131, 206.722689
131, 208.403361
131, 205.882353
131, 208.403361
131, 206.722689
131, 208.403361
131, 206.722689
131, 205.882353
131, 230.252101
132, 211.764706
132, 207.563025
132, 232.773109
132, 210.084034
132, 207.563025
132, 231.092437
132, 209.243697
132, 207.563025
132, 231.092437
132, 209.243697
133, 209.243697
133, 231.932773
133, 231.932773
133, 231.932773
133, 231.932773
133, 231.932773
133, 232.773109
133, 231.932773
133, 231.932773
133, 236.134454
134, 232.773109
134, 232.773109
134, 233.613445
134, 233.613445
134, 252.941176
134, 233.613445
134, 233.613445
134, 233.613445
134, 232.773109
134, 232.773109
135, 233.613445
135, 233.613445
135, 233.613445
135, 234.453782
135, 234.453782
135, 234.453782
135, 236.134454
135, 234.453782
135, 234.453782
135, 240.336134
136, 246.218487
136, 236.134454
136, 235.294118
136, 235.294118
